index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,02/25/2021,Buy,9923HK,G9835C108,YEAHKA LTD,"708,000",0.1781
2,ARKF,02/25/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"39,654",0.2038
3,ARKF,02/25/2021,Buy,SQ,852234103,SQUARE INC,"38,002",0.1996
4,ARKF,02/25/2021,Buy,SI,82837P408,SILVERGATE CAPITAL CORP,"44,913",0.1322
5,ARKF,02/25/2021,Buy,PYPL,70450Y103,PAYPAL HOLDINGS INC,"86,542",0.5096
6,ARKF,02/25/2021,Buy,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,"307,000",0.2021
7,ARKF,02/25/2021,Buy,DSYSJ,S2192Y109,DISCOVERY LTD,"71,324",0.0161
8,ARKF,02/25/2021,Sell,LSPD,53227R106,LIGHTSPEED POS INC,"59,324",0.0958
9,ARKF,02/25/2021,Sell,SCHW,808513105,CHARLES SCHWAB CORP/THE,"246,711",0.3533
10,ARKF,02/25/2021,Sell,GWRE,40171V100,GUIDEWIRE SOFTWARE INC,"19,579",0.0502
11,ARKF,02/25/2021,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"192,478",0.3811
12,ARKF,02/25/2021,Sell,AMZN,023135106,AMAZON.COM INC,"7,256",0.5071
13,ARKG,02/25/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"20,646",0.0061
14,ARKG,02/25/2021,Buy,MASS,65443P102,908 DEVICES INC,"57,853",0.0306
15,ARKG,02/25/2021,Buy,CMLF,18978W109,CM LIFE SCIENCES INC,"369,000",0.0682
16,ARKG,02/25/2021,Buy,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,"183,168",0.0949
17,ARKG,02/25/2021,Buy,ACCD,00437E102,ACCOLADE INC,"92,800",0.039
18,ARKG,02/25/2021,Buy,SGFY,82671G100,SIGNIFY HEALTH INC,"184,100",0.0576
19,ARKG,02/25/2021,Sell,TWST,90184D100,TWIST BIOSCIENCE CORP,"41,202",0.0533
20,ARKG,02/25/2021,Sell,CDNA,14167L103,CAREDX INC,"301,100",0.2253
21,ARKK,02/25/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"298,495",0.1165
22,ARKK,02/25/2021,Buy,BIDU,056752108,BAIDU INC,"299,835",0.3734
23,ARKK,02/25/2021,Buy,EXAS,30063P105,EXACT SCIENCES CORP,"25,439",0.014
24,ARKK,02/25/2021,Buy,TXG,88025U109,10X GENOMICS INC,"52,725",0.039
25,ARKK,02/25/2021,Buy,TWTR,90184L102,TWITTER INC,"1,268,926",0.4133
26,ARKK,02/25/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"393,495",0.3841
27,ARKK,02/25/2021,Sell,PINS,72352L106,PINTEREST INC,"885,520",0.3067
28,ARKK,02/25/2021,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,"378,699",0.2041
29,ARKK,02/25/2021,Sell,SNAP,83304A106,SNAP INC,"991,159",0.2833
30,ARKK,02/25/2021,Sell,SE,81141R100,SEA LTD,"103,585",0.1035
31,ARKK,02/25/2021,Sell,ROKU,77543R102,ROKU INC,"238,061",0.3962
32,ARKK,02/25/2021,Sell,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"33,376",0.0642
33,ARKK,02/25/2021,Sell,NVS,66987V109,NOVARTIS AG,"14,692",0.0054
34,ARKQ,02/25/2021,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,"95,578",0.0744
35,ARKQ,02/25/2021,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,"28,584",0.0311
36,ARKQ,02/25/2021,Buy,TER,880770102,TERADYNE INC,"54,700",0.1874
37,ARKQ,02/25/2021,Buy,TRMB,896239100,TRIMBLE INC,"67,500",0.135
38,ARKQ,02/25/2021,Buy,VUZI,92921W300,VUZIX CORP,"197,000",0.1028
39,ARKQ,02/25/2021,Buy,JD,47215P106,JD.COM INC,"99,748",0.2505
40,ARKQ,02/25/2021,Buy,EXPC,30217C109,EXPERIENCE INVESTMENT CORP,"66,000",0.0277
41,ARKQ,02/25/2021,Buy,BIDU,056752108,BAIDU INC,"63,723",0.5109
42,ARKQ,02/25/2021,Buy,ACIC,049284102,ATLAS CREST INVESTMENT CORP,"410,320",0.1387
43,ARKQ,02/25/2021,Sell,GOOG,02079K107,ALPHABET INC,"2,800",0.1531
44,ARKQ,02/25/2021,Sell,XLNX,983919101,XILINX INC,"59,129",0.2013
45,ARKQ,02/25/2021,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,"57,786",0.1973
46,ARKQ,02/25/2021,Sell,ADSK,052769106,AUTODESK INC,"26,052",0.2004
47,ARKQ,02/25/2021,Sell,AMZN,023135106,AMAZON.COM INC,"2,480",0.2038
48,ARKQ,02/25/2021,Sell,SNPS,871607107,SYNOPSYS INC,"29,871",0.1976
49,ARKQ,02/25/2021,Sell,ROK,773903109,ROCKWELL AUTOMATION INC,"15,019",0.0986
50,ARKQ,02/25/2021,Sell,FLIR,302445101,FLIR SYSTEMS INC,"158,502",0.2289
51,ARKW,02/25/2021,Buy,TSLA,88160R101,TESLA INC,"23,966",0.2047
52,ARKW,02/25/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"151,423",0.4343
53,ARKW,02/25/2021,Buy,SQ,852234103,SQUARE INC,"62,647",0.1761
54,ARKW,02/25/2021,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,"30,850",0.1174
55,ARKW,02/25/2021,Buy,SKLZ,83067L109,SKILLZ INC,"189,969",0.07
56,ARKW,02/25/2021,Buy,SHOP,82509L107,SHOPIFY INC,"7,775",0.1196
57,ARKW,02/25/2021,Buy,BIDU,056752108,BAIDU INC,"141,918",0.5139
58,ARKW,02/25/2021,Buy,TWTR,90184L102,TWITTER INC,"399,822",0.3836
59,ARKW,02/25/2021,Sell,SE,81141R100,SEA LTD,"71,559",0.2104
60,ARKW,02/25/2021,Sell,SNAP,83304A106,SNAP INC,"514,924",0.4161
61,ARKW,02/25/2021,Sell,CRM,79466L302,SALESFORCE.COM INC,"100,695",0.2889
62,ARKW,02/25/2021,Sell,AAPL,037833100,APPLE INC,"116,653",0.1754
63,ARKW,02/25/2021,Sell,BABA,01609W102,ALIBABA GROUP HOLDING LTD,"377,406",1.1185
