index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,05/11/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"58,100",0.4663
2,ARKF,05/11/2021,Sell,9923HK,G9835C108,YEAHKA LTD,"638,800",0.118
3,ARKF,05/11/2021,Sell,SI,82837P408,SILVERGATE CAPITAL CORP,"140,274",0.3222
4,ARKG,05/11/2021,Buy,VCYT,92337F107,VERACYTE INC,"101,295",0.0527
5,ARKG,05/11/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"11,899",0.0048
6,ARKG,05/11/2021,Buy,MASS,65443P102,908 DEVICES INC,"51,555",0.0289
7,ARKG,05/11/2021,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,"108,046",0.0497
8,ARKG,05/11/2021,Buy,CMIIU,125842203,CM LIFE SCIENCES II INC,"40,365",0.006
9,ARKG,05/11/2021,Buy,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,"30,373",0.0121
10,ARKG,05/11/2021,Buy,CDNA,14167L103,CAREDX INC,"24,947",0.0204
11,ARKG,05/11/2021,Buy,CDXS,192005106,CODEXIS INC,"25,301",0.0055
12,ARKG,05/11/2021,Sell,PHR,71944F106,PHREESIA INC,"209,433",0.1181
13,ARKG,05/11/2021,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,"66,857",0.0044
14,ARKG,05/11/2021,Sell,SRPT,803607100,SAREPTA THERAPEUTICS INC,"35,600",0.0313
15,ARKG,05/11/2021,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,"84,177",0.0605
16,ARKG,05/11/2021,Sell,RHHBY,771195104,ROCHE HOLDING AG,"84,200",0.0437
17,ARKG,05/11/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,"3,073",0.0002
18,ARKK,05/11/2021,Buy,PATH,90364P105,UIPATH INC,"510,764",0.1751
19,ARKK,05/11/2021,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,"2,139,511",0.1985
20,ARKK,05/11/2021,Buy,ROKU,77543R102,ROKU INC,"63,981",0.097
21,ARKK,05/11/2021,Buy,SHOP,82509L107,SHOPIFY INC,"19,056",0.1034
22,ARKK,05/11/2021,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,"84,509",0.0958
23,ARKK,05/11/2021,Buy,TSP,90089L108,TUSIMPLE HOLDINGS INC,"273,510",0.0494
24,ARKK,05/11/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"248,892",0.1027
25,ARKK,05/11/2021,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,"68,991",0.1006
