index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,06/10/2021,Buy,KSPILI,48581R205,KASPI.KZ JSC,"9,882",0.0249
2,ARKG,06/10/2021,Buy,CMIIU,125842203,CM LIFE SCIENCES II INC,"9,200",0.0014
3,ARKG,06/10/2021,Buy,PATH,90364P105,UIPATH INC,"242,492",0.1937
4,ARKG,06/10/2021,Sell,GH,40131M109,GUARDANT HEALTH INC,"111,028",0.1462
5,ARKG,06/10/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,"30,753",0.0015
6,ARKK,06/10/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"60,813",0.0632
7,ARKK,06/10/2021,Buy,PATH,90364P105,UIPATH INC,"604,635",0.2003
8,ARKK,06/10/2021,Sell,PSTG,74624M102,PURE STORAGE INC,"116,556",0.0103
9,ARKK,06/10/2021,Sell,NVS,66987V109,NOVARTIS AG,"100,388",0.0434
10,ARKK,06/10/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"285,720",0.148
11,ARKQ,06/10/2021,Buy,PATH,90364P105,UIPATH INC,"87,472",0.2077
12,ARKQ,06/10/2021,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,"77,623",0.0697
13,ARKQ,06/10/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,"19,506",0.026
14,ARKQ,06/10/2021,Sell,GLEO,G3770A102,GALILEO ACQUISITION CORP,"2,249",0.0008
15,ARKQ,06/10/2021,Sell,RAVN,754212108,RAVEN INDUSTRIES INC,"4,442",0.0068
16,ARKQ,06/10/2021,Sell,TER,880770102,TERADYNE INC,"26,560",0.1144
17,ARKW,06/10/2021,Buy,PATH,90364P105,UIPATH INC,"147,038",0.1918
18,ARKW,06/10/2021,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"139,840",0.1983
