index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,06/11/2021,Buy,KSPILI,48581R205,KASPI.KZ JSC,"2,346",0.006
2,ARKG,06/11/2021,Buy,CLLS,15117K103,CELLECTIS SA,"40,000",0.0069
3,ARKG,06/11/2021,Buy,DRNA,253031108,DICERNA PHARMACEUTICALS INC,101,0.0
4,ARKG,06/11/2021,Buy,MASS,65443P102,908 DEVICES INC,"47,140",0.0222
5,ARKG,06/11/2021,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,"154,453",0.3411
6,ARKG,06/11/2021,Sell,GH,40131M109,GUARDANT HEALTH INC,"14,000",0.0189
7,ARKG,06/11/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,"31,398",0.0015
8,ARKK,06/11/2021,Sell,PSTG,74624M102,PURE STORAGE INC,"461,297",0.0403
9,ARKK,06/11/2021,Sell,NVS,66987V109,NOVARTIS AG,"124,596",0.053
10,ARKK,06/11/2021,Sell,HUYA,44852D108,HUYA INC,189,0.0
11,ARKQ,06/11/2021,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,"25,000",0.0086
12,ARKQ,06/11/2021,Sell,GLEO,G3770A102,GALILEO ACQUISITION CORP,"57,015",0.0195
13,ARKQ,06/11/2021,Sell,RAVN,754212108,RAVEN INDUSTRIES INC,"24,235",0.0359
14,ARKW,06/11/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,750,0.0015
