index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKG,04/30/2021,Buy,CMIIU,125842203,CM LIFE SCIENCES II INC,"6,711",0.001
2,ARKG,04/30/2021,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,"84,878",0.0379
3,ARKG,04/30/2021,Buy,MASS,65443P102,908 DEVICES INC,"11,580",0.0063
4,ARKG,04/30/2021,Buy,ZY,98985X100,ZYMERGEN INC,"32,467",0.016
5,ARKG,04/30/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"80,765",0.1446
6,ARKG,04/30/2021,Buy,RXRX,75629V104,RECURSION PHARMACEUTICALS INC,"38,210",0.0131
7,ARKG,04/30/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,"3,887",0.0002
8,ARKG,04/30/2021,Sell,PSTG,74624M102,PURE STORAGE INC,"5,894",0.0013
9,ARKG,04/30/2021,Sell,PHR,71944F106,PHREESIA INC,"32,918",0.0177
10,ARKK,04/30/2021,Buy,TWTR,90184L102,TWITTER INC,"843,194",0.2052
11,ARKK,04/30/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"127,422",0.0942
12,ARKK,04/30/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,"52,370",0.0085
13,ARKK,04/30/2021,Sell,PCAR,693718108,PACCAR INC,"371,806",0.144
14,ARKK,04/30/2021,Sell,ROKU,77543R102,ROKU INC,"25,247",0.0378
15,ARKK,04/30/2021,Sell,SE,81141R100,SEA LTD,"25,134",0.0278
16,ARKK,04/30/2021,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,"7,336",0.0003
17,ARKK,04/30/2021,Sell,TER,880770102,TERADYNE INC,"5,871",0.0032
18,ARKK,04/30/2021,Sell,Z,98954M200,ZILLOW GROUP INC,"67,267",0.038
19,ARKQ,04/30/2021,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,"105,943",0.0333
20,ARKQ,04/30/2021,Buy,GLEO,G3770A102,GALILEO ACQUISITION CORP,"406,400",0.1258
21,ARKQ,04/30/2021,Buy,DDD,88554D205,3D SYSTEMS CORP,"199,318",0.1306
22,ARKQ,04/30/2021,Sell,NVDA,67066G104,NVIDIA CORP,"16,402",0.3023
23,ARKW,04/30/2021,Buy,TWTR,90184L102,TWITTER INC,"468,256",0.3996
24,ARKW,04/30/2021,Buy,PDD,722304102,PINDUODUO INC,"73,019",0.1477
25,ARKW,04/30/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"52,854",0.1349
26,ARKW,04/30/2021,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"38,200",0.0458
27,ARKW,04/30/2021,Sell,TREE,52603B107,LENDINGTREE INC,"24,886",0.0788
28,ARKW,04/30/2021,Sell,SI,82837P408,SILVERGATE CAPITAL CORP,"142,300",0.2396
29,ARKW,04/30/2021,Sell,PYPL,70450Y103,PAYPAL HOLDINGS INC,"34,800",0.1373
30,ARKW,04/30/2021,Sell,NVDA,67066G104,NVIDIA CORP,"19,660",0.1783
31,ARKW,04/30/2021,Sell,API,00851L103,AGORA INC,"24,139",0.0184
32,ARKW,04/30/2021,Sell,Z,98954M200,ZILLOW GROUP INC,"49,302",0.0961
