index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,04/21/2021,Buy,3690HK,G59669104,MEITUAN,"377,486",0.3326
2,ARKF,04/21/2021,Buy,PATH,90364P105,UIPATH INC,"238,407",0.3834
3,ARKF,04/21/2021,Sell,INTU,461202103,INTUIT INC,"15,033",0.1459
4,ARKF,04/21/2021,Sell,NVDA,67066G104,NVIDIA CORP,"8,159",0.1182
5,ARKF,04/21/2021,Sell,TREE,52603B107,LENDINGTREE INC,"25,000",0.1275
6,ARKF,04/21/2021,Sell,WDAY,98138H101,WORKDAY INC,"24,610",0.1464
7,ARKG,04/21/2021,Buy,RXRX,75629V104,RECURSION PHARMACEUTICALS INC,710,0.0002
8,ARKG,04/21/2021,Buy,PATH,90364P105,UIPATH INC,"540,806",0.3809
9,ARKG,04/21/2021,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,"108,698",0.0467
10,ARKG,04/21/2021,Buy,MASS,65443P102,908 DEVICES INC,"3,359",0.0018
11,ARKG,04/21/2021,Sell,TMO,883556102,THERMO FISHER SCIENTIFIC INC,"12,300",0.0614
12,ARKG,04/21/2021,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,"47,382",0.003
13,ARKG,04/21/2021,Sell,NVS,66987V109,NOVARTIS AG,"11,038",0.0102
14,ARKG,04/21/2021,Sell,RHHBY,771195104,ROCHE HOLDING AG,"138,361",0.062
15,ARKG,04/21/2021,Sell,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"9,000",0.0473
16,ARKG,04/21/2021,Sell,PHR,71944F106,PHREESIA INC,"41,600",0.0218
17,ARKK,04/21/2021,Buy,SKLZ,83067L109,SKILLZ INC,"4,014,903",0.2621
18,ARKK,04/21/2021,Buy,PATH,90364P105,UIPATH INC,"1,348,999",0.3808
19,ARKK,04/21/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,"15,219",0.0023
20,ARKK,04/21/2021,Buy,DKNG,26142R104,DRAFTKINGS INC,"126,173",0.0291
21,ARKK,04/21/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"195,108",0.2553
22,ARKK,04/21/2021,Buy,BLI,084310101,BERKELEY LIGHTS INC,"60,684",0.0117
23,ARKK,04/21/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"37,406",0.0109
24,ARKK,04/21/2021,Sell,TWTR,90184L102,TWITTER INC,"122,015",0.0337
25,ARKK,04/21/2021,Sell,TSLA,88160R101,TESLA INC,"163,981",0.4972
26,ARKK,04/21/2021,Sell,SQ,852234103,SQUARE INC,"170,764",0.1755
27,ARKK,04/21/2021,Sell,SNPS,871607107,SYNOPSYS INC,"19,690",0.0206
28,ARKK,04/21/2021,Sell,ROKU,77543R102,ROKU INC,"114,713",0.1677
29,ARKK,04/21/2021,Sell,PCAR,693718108,PACCAR INC,"206,766",0.0799
30,ARKQ,04/21/2021,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,"104,184",0.0315
31,ARKQ,04/21/2021,Buy,PATH,90364P105,UIPATH INC,"187,267",0.3786
32,ARKQ,04/21/2021,Buy,NIU,65481N100,NIU TECHNOLOGIES,"3,843",0.0038
33,ARKQ,04/21/2021,Buy,DDD,88554D205,3D SYSTEMS CORP,"23,622",0.0133
34,ARKQ,04/21/2021,Sell,NVDA,67066G104,NVIDIA CORP,"8,100",0.1476
35,ARKQ,04/21/2021,Sell,XLNX,983919101,XILINX INC,"46,247",0.1734
36,ARKW,04/21/2021,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"56,800",0.0665
37,ARKW,04/21/2021,Buy,SKLZ,83067L109,SKILLZ INC,"1,056,186",0.2513
38,ARKW,04/21/2021,Buy,PTON,70614W100,PELOTON INTERACTIVE INC,"152,289",0.2291
39,ARKW,04/21/2021,Buy,PDD,722304102,PINDUODUO INC,"1,956",0.0036
40,ARKW,04/21/2021,Buy,PATH,90364P105,UIPATH INC,"384,976",0.382
41,ARKW,04/21/2021,Buy,NFLX,64110L106,NETFLIX INC,"53,667",0.4001
42,ARKW,04/21/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"52,609",0.2489
43,ARKW,04/21/2021,Sell,PSTG,74624M102,PURE STORAGE INC,"397,704",0.1197
44,ARKW,04/21/2021,Sell,HUBS,443573100,HUBSPOT INC,"11,403",0.0843
45,ARKW,04/21/2021,Sell,PYPL,70450Y103,PAYPAL HOLDINGS INC,"119,279",0.4605
46,ARKW,04/21/2021,Sell,DOCU,256163106,DOCUSIGN INC,"68,892",0.2201
47,ARKW,04/21/2021,Sell,SQ,852234103,SQUARE INC,"136,811",0.4872
48,ARKW,04/21/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"169,143",0.2964
49,ARKX,04/21/2021,Buy,RTP,G7483N129,REINVENT TECHNOLOGY PARTNERS,"103,052",0.1504
50,ARKX,04/21/2021,Buy,PATH,90364P105,UIPATH INC,"38,475",0.3816
51,ARKX,04/21/2021,Buy,NFLX,64110L106,NETFLIX INC,"5,214",0.3863
52,ARKX,04/21/2021,Buy,3690HK,G59669104,MEITUAN,"84,860",0.4612
53,ARKX,04/21/2021,Sell,NVDA,67066G104,NVIDIA CORP,"5,597",0.4992
54,ARKX,04/21/2021,Sell,XLNX,983919101,XILINX INC,"37,634",0.691
