index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,06/07/2021,Buy,KSPILI,48581R205,KASPI.KZ JSC,"1,256",0.0033
2,ARKG,06/07/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"2,663",0.001
3,ARKG,06/07/2021,Buy,ONEM,68269G107,1LIFE HEALTHCARE INC,"429,564",0.1798
4,ARKG,06/07/2021,Buy,MASS,65443P102,908 DEVICES INC,"1,746",0.0009
5,ARKG,06/07/2021,Buy,CMIIU,125842203,CM LIFE SCIENCES II INC,801,0.0001
6,ARKG,06/07/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"3,311",0.0033
7,ARKG,06/07/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,"82,000",0.0041
8,ARKG,06/07/2021,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,"5,500",0.0004
9,ARKG,06/07/2021,Sell,TXG,88025U109,10X GENOMICS INC,"55,122",0.1217
10,ARKK,06/07/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"12,629",0.0057
11,ARKK,06/07/2021,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,"60,383",0.0696
12,ARKK,06/07/2021,Buy,PD,69553P100,PAGERDUTY INC,20,0.0
13,ARKK,06/07/2021,Buy,PATH,90364P105,UIPATH INC,"16,538",0.0057
14,ARKK,06/07/2021,Buy,CRSP,H17182108,CRISPR THERAPEUTICS AG,"2,417",0.0013
15,ARKK,06/07/2021,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,500,0.0
16,ARKK,06/07/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"2,395",0.0013
17,ARKK,06/07/2021,Sell,HUYA,44852D108,HUYA INC,"877,347",0.0616
18,ARKK,06/07/2021,Sell,DOCU,256163106,DOCUSIGN INC,"107,900",0.1232
19,ARKK,06/07/2021,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,"5,000",0.0001
20,ARKQ,06/07/2021,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,"49,694",0.044
21,ARKQ,06/07/2021,Buy,NIU,65481N100,NIU TECHNOLOGIES,"32,798",0.0371
22,ARKQ,06/07/2021,Sell,TER,880770102,TERADYNE INC,"18,760",0.0833
23,ARKQ,06/07/2021,Sell,GLEO,G3770A102,GALILEO ACQUISITION CORP,"25,456",0.0087
24,ARKW,06/07/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"119,085",0.2127
25,ARKW,06/07/2021,Sell,RBLX,771049103,ROBLOX CORP,"35,067",0.0608
26,ARKW,06/07/2021,Sell,SNAP,83304A106,SNAP INC,"101,294",0.1131
27,ARKX,06/07/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,"21,888",0.1325
28,ARKX,06/07/2021,Buy,TRMB,896239100,TRIMBLE INC,"40,508",0.5035
29,ARKX,06/07/2021,Sell,GRMN,H2906T109,GARMIN LTD,"11,000",0.2502
30,ARKX,06/07/2021,Sell,NVDA,67066G104,NVIDIA CORP,"2,257",0.2523
31,ARKX,06/07/2021,Sell,SPR,848574109,SPIRIT AEROSYSTEMS HOLDINGS INC,"15,879",0.1305
