index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,04/06/2021,Buy,LC,52603A208,LENDINGCLUB CORP,"196,476",0.0744
2,ARKF,04/06/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"164,037",0.4443
3,ARKF,04/06/2021,Sell,TREE,52603B107,LENDINGTREE INC,"14,816",0.0766
4,ARKG,04/06/2021,Buy,SGFY,82671G100,SIGNIFY HEALTH INC,"91,624",0.0262
5,ARKG,04/06/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"8,564",0.0027
6,ARKG,04/06/2021,Buy,MASS,65443P102,908 DEVICES INC,"8,941",0.0048
7,ARKG,04/06/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,"6,871",0.0003
8,ARKG,04/06/2021,Sell,PHR,71944F106,PHREESIA INC,"26,639",0.015
9,ARKK,04/06/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"50,500",0.0167
10,ARKK,04/06/2021,Buy,FATE,31189P102,FATE THERAPEUTICS INC,"102,269",0.0342
11,ARKK,04/06/2021,Buy,TRMB,896239100,TRIMBLE INC,"760,613",0.2597
12,ARKW,04/06/2021,Buy,TTD,88339J105,TRADE DESK INC/THE,"26,600",0.2524
13,ARKW,04/06/2021,Sell,SNPS,871607107,SYNOPSYS INC,"45,663",0.1659
