index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,05/25/2021,Buy,4689JP,J9894K105,Z HOLDINGS CORP,"1,076,800",0.1345
2,ARKF,05/25/2021,Buy,KSPILI,48581R205,KASPI.KZ JSC,"4,918",0.0111
3,ARKF,05/25/2021,Buy,DKNG,26142R104,DRAFTKINGS INC,"121,537",0.1653
4,ARKF,05/25/2021,Sell,9923HK,G9835C108,YEAHKA LTD,"322,000",0.0594
5,ARKF,05/25/2021,Sell,GWRE,40171V100,GUIDEWIRE SOFTWARE INC,302,0.0008
6,ARKF,05/25/2021,Sell,6060HK,Y989DF109,ZHONGAN ONLINE P&C INSURANCE CO LTD,"864,400",0.1331
7,ARKF,05/25/2021,Sell,SCHW,808513105,CHARLES SCHWAB CORP/THE,"109,981",0.2228
8,ARKG,05/25/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"8,755",0.0036
9,ARKG,05/25/2021,Buy,MASS,65443P102,908 DEVICES INC,"4,237",0.002
10,ARKG,05/25/2021,Buy,DRNA,253031108,DICERNA PHARMACEUTICALS INC,"98,069",0.0371
11,ARKG,05/25/2021,Buy,CMLF,18978W109,CM LIFE SCIENCES INC,100,0.0
12,ARKG,05/25/2021,Buy,CMIIU,125842203,CM LIFE SCIENCES II INC,100,0.0
13,ARKG,05/25/2021,Buy,CDXS,192005106,CODEXIS INC,"36,907",0.0091
14,ARKG,05/25/2021,Sell,GH,40131M109,GUARDANT HEALTH INC,"25,525",0.0402
15,ARKG,05/25/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,"24,006",0.0012
16,ARKK,05/25/2021,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,"26,572",0.0007
17,ARKK,05/25/2021,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,923,0.0
18,ARKK,05/25/2021,Sell,HUYA,44852D108,HUYA INC,"408,360",0.0295
19,ARKQ,05/25/2021,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,"11,325",0.0039
20,ARKQ,05/25/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,"62,475",0.0815
21,ARKQ,05/25/2021,Buy,AONE,G7000X105,ONE,"15,035",0.0052
22,ARKQ,05/25/2021,Buy,ACIC,049284102,ATLAS CREST INVESTMENT CORP,"129,475",0.0448
23,ARKQ,05/25/2021,Sell,AVAV,008073108,AEROVIRONMENT INC,"18,540",0.0697
24,ARKQ,05/25/2021,Sell,GLEO,G3770A102,GALILEO ACQUISITION CORP,"14,065",0.0049
25,ARKQ,05/25/2021,Sell,ADSK,052769106,AUTODESK INC,"1,500",0.0151
26,ARKQ,05/25/2021,Sell,WKHS,98138J206,WORKHORSE GROUP INC,20,0.0
27,ARKW,05/25/2021,Buy,VUZI,92921W300,VUZIX CORP,"144,030",0.0444
28,ARKW,05/25/2021,Buy,TWTR,90184L102,TWITTER INC,"245,260",0.2538
29,ARKW,05/25/2021,Buy,GBTC,389637109,GRAYSCALE BITCOIN TRUST BTC,"181,995",0.1059
30,ARKW,05/25/2021,Sell,HUBS,443573100,HUBSPOT INC,2,0.0
31,ARKW,05/25/2021,Sell,JD,47215P106,JD.COM INC,"456,987",0.6082
32,ARKW,05/25/2021,Sell,PDD,722304102,PINDUODUO INC,"96,600",0.2339
33,ARKW,05/25/2021,Sell,API,00851L103,AGORA INC,6,0.0
34,ARKX,05/25/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"48,800",0.7525
35,ARKX,05/25/2021,Buy,BLDE,092667104,BLADE AIR MOBILITY INC,"34,900",0.0484
36,ARKX,05/25/2021,Sell,GRMN,H2906T109,GARMIN LTD,"15,973",0.363
37,ARKX,05/25/2021,Sell,JD,47215P106,JD.COM INC,"273,688",3.2115
38,ARKX,05/25/2021,Sell,RAVN,754212108,RAVEN INDUSTRIES INC,"19,161",0.136
39,ARKX,05/25/2021,Sell,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,12,0.0
40,ARKX,05/25/2021,Sell,ADSK,052769106,AUTODESK INC,410,0.0191
41,ARKX,05/25/2021,Sell,WKHS,98138J206,WORKHORSE GROUP INC,10,0.0
