index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,12/31/2020,Buy,TCS.GB,87238U203,TCS GROUP HOLDING -REG S,"8,317",0.01
2,ARKF,12/31/2020,Buy,KSPI.GB,48581R205,JSC KASPI.KZ GDR-REG S,"2,519",0.01
3,ARKG,12/31/2020,Buy,TDOC.US,87918A105,TELADOC INC,"95,689",0.25
4,ARKG,12/31/2020,Buy,RPTX.US,760273102,REPARE THERAPEUTICS INC,"12,547",0.01
5,ARKG,12/31/2020,Buy,RHHBY.US,771195104,ROCHE HOLDINGS LTD-SPONS ADR,"76,600",0.04
6,ARKG,12/31/2020,Buy,REGN.US,75886F107,REGENERON PHARMACEUTICALS,"58,144",0.36
7,ARKG,12/31/2020,Buy,NVS.US,66987V109,NOVARTIS AG-SPONSORED ADR,"58,964",0.07
8,ARKK,12/31/2020,Buy,ZM.US,98980L101,ZOOM VIDEO COMMUNICATIONS-A,"105,220",0.2
9,ARKK,12/31/2020,Sell,TSLA.US,88160R101,TESLA MOTORS INC,"50,227",0.2
10,ARKW,12/31/2020,Buy,ZM.US,98980L101,ZOOM VIDEO COMMUNICATIONS-A,"30,100",0.2
11,ARKW,12/31/2020,Sell,TSLA.US,88160R101,TESLA MOTORS INC,"14,999",0.2
