index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,05/07/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"26,000",0.1767
2,ARKF,05/07/2021,Buy,JD,47215P106,JD.COM INC,"366,879",0.7249
3,ARKF,05/07/2021,Sell,9923HK,G9835C108,YEAHKA LTD,"574,000",0.1119
4,ARKF,05/07/2021,Sell,SI,82837P408,SILVERGATE CAPITAL CORP,"176,959",0.4394
5,ARKG,05/07/2021,Buy,VCYT,92337F107,VERACYTE INC,"30,590",0.0161
6,ARKG,05/07/2021,Buy,MASS,65443P102,908 DEVICES INC,"15,890",0.0095
7,ARKG,05/07/2021,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,"333,215",0.1467
8,ARKG,05/07/2021,Buy,FATE,31189P102,FATE THERAPEUTICS INC,"47,898",0.0432
9,ARKG,05/07/2021,Buy,CMIIU,125842203,CM LIFE SCIENCES II INC,"14,914",0.0023
10,ARKG,05/07/2021,Buy,CDNA,14167L103,CAREDX INC,800,0.0007
11,ARKG,05/07/2021,Sell,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,"160,100",0.0317
12,ARKG,05/07/2021,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,"109,554",0.0069
13,ARKG,05/07/2021,Sell,RHHBY,771195104,ROCHE HOLDING AG,"100,000",0.0493
14,ARKG,05/07/2021,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,"83,477",0.0653
15,ARKK,05/07/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"362,619",0.1599
16,ARKK,05/07/2021,Buy,DKNG,26142R104,DRAFTKINGS INC,"358,860",0.0907
17,ARKK,05/07/2021,Buy,TSP,90089L108,TUSIMPLE HOLDINGS INC,"53,150",0.0096
18,ARKK,05/07/2021,Buy,SKLZ,83067L109,SKILLZ INC,"1,114,735",0.0863
19,ARKK,05/07/2021,Sell,TREE,52603B107,LENDINGTREE INC,"42,713",0.0393
20,ARKK,05/07/2021,Sell,PSTG,74624M102,PURE STORAGE INC,"503,700",0.0457
21,ARKK,05/07/2021,Sell,NVS,66987V109,NOVARTIS AG,"205,923",0.0877
22,ARKK,05/07/2021,Sell,NTDOY,654445303,NINTENDO CO LTD,"128,581",0.043
23,ARKK,05/07/2021,Sell,BIDU,056752108,BAIDU INC,"204,671",0.1921
24,ARKQ,05/07/2021,Buy,AONE,G7000X105,ONE,"15,841",0.0052
25,ARKQ,05/07/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,"66,394",0.0834
26,ARKQ,05/07/2021,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,"95,418",0.0842
27,ARKQ,05/07/2021,Buy,TER,880770102,TERADYNE INC,"81,331",0.3394
28,ARKQ,05/07/2021,Sell,WKHS,98138J206,WORKHORSE GROUP INC,"898,254",0.2841
29,ARKQ,05/07/2021,Sell,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,"594,209",0.3777
30,ARKW,05/07/2021,Buy,NNDM,63008G203,NANO DIMENSION LTD,"340,948",0.0381
31,ARKW,05/07/2021,Buy,OKTA,679295105,OKTA INC,"54,063",0.2216
32,ARKW,05/07/2021,Buy,TWTR,90184L102,TWITTER INC,"145,914",0.1338
33,ARKW,05/07/2021,Sell,CRWD,22788C105,CROWDSTRIKE HOLDINGS INC,"120,016",0.391
34,ARKW,05/07/2021,Sell,PINS,72352L106,PINTEREST INC,"41,467",0.0418
35,ARKX,05/07/2021,Buy,3690HK,G59669104,MEITUAN,"44,400",0.2524
36,ARKX,05/07/2021,Buy,PRNT,00214Q500,THE 3D PRINTING ETF,"17,160",0.0986
37,ARKX,05/07/2021,Sell,DE,244199105,DEERE & CO,"3,300",0.1992
