index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,05/18/2021,Buy,STNE,G85158106,STONECO LTD,"174,419",0.3076
2,ARKF,05/18/2021,Buy,KSPILI,48581R205,KASPI.KZ JSC,"1,603",0.0037
3,ARKF,05/18/2021,Buy,SQ,852234103,SQUARE INC,"18,714",0.1107
4,ARKF,05/18/2021,Sell,AAPL,037833100,APPLE INC,"2,500",0.0091
5,ARKF,05/18/2021,Sell,GWRE,40171V100,GUIDEWIRE SOFTWARE INC,"160,611",0.4321
6,ARKF,05/18/2021,Sell,9923HK,G9835C108,YEAHKA LTD,"283,600",0.0542
7,ARKF,05/18/2021,Sell,TREE,52603B107,LENDINGTREE INC,"1,500",0.0084
8,ARKG,05/18/2021,Buy,SGFY,82671G100,SIGNIFY HEALTH INC,"27,803",0.0093
9,ARKG,05/18/2021,Buy,RXRX,75629V104,RECURSION PHARMACEUTICALS INC,"10,440",0.003
10,ARKG,05/18/2021,Buy,ONEM,68269G107,1LIFE HEALTHCARE INC,"28,461",0.0122
11,ARKG,05/18/2021,Buy,MASS,65443P102,908 DEVICES INC,"25,427",0.0121
12,ARKG,05/18/2021,Buy,CDXS,192005106,CODEXIS INC,"3,210",0.0008
13,ARKG,05/18/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,"87,419",0.0044
14,ARKG,05/18/2021,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,"300,000",0.0206
15,ARKK,05/18/2021,Buy,TSLA,88160R101,TESLA INC,"43,370",0.1281
16,ARKK,05/18/2021,Buy,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,"2,124",0.0002
17,ARKK,05/18/2021,Buy,DKNG,26142R104,DRAFTKINGS INC,"679,736",0.1536
18,ARKK,05/18/2021,Buy,CRSP,H17182108,CRISPR THERAPEUTICS AG,"2,131",0.0012
19,ARKK,05/18/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"118,214",0.1475
20,ARKK,05/18/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,200,0.0001
21,ARKK,05/18/2021,Sell,TREE,52603B107,LENDINGTREE INC,"45,847",0.0443
22,ARKK,05/18/2021,Sell,SNPS,871607107,SYNOPSYS INC,"80,646",0.0965
23,ARKK,05/18/2021,Sell,BEKE,482497104,KE HOLDINGS INC,"648,322",0.1644
24,ARKK,05/18/2021,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,"3,429",0.0001
25,ARKK,05/18/2021,Sell,NVS,66987V109,NOVARTIS AG,"152,433",0.0683
26,ARKK,05/18/2021,Sell,NTDOY,654445303,NINTENDO CO LTD,"135,600",0.0484
27,ARKK,05/18/2021,Sell,HUYA,44852D108,HUYA INC,"242,684",0.0189
28,ARKQ,05/18/2021,Buy,ACIC,049284102,ATLAS CREST INVESTMENT CORP,"352,406",0.1243
29,ARKQ,05/18/2021,Buy,TSLA,88160R101,TESLA INC,"3,661",0.0754
30,ARKQ,05/18/2021,Buy,NIU,65481N100,NIU TECHNOLOGIES,300,0.0003
31,ARKQ,05/18/2021,Buy,PATH,90364P105,UIPATH INC,"3,526",0.0086
32,ARKQ,05/18/2021,Sell,WKHS,98138J206,WORKHORSE GROUP INC,"20,000",0.0064
33,ARKQ,05/18/2021,Sell,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,"4,500",0.0028
34,ARKQ,05/18/2021,Sell,GLEO,G3770A102,GALILEO ACQUISITION CORP,"135,158",0.0488
35,ARKQ,05/18/2021,Sell,ADSK,052769106,AUTODESK INC,"19,890",0.1957
36,ARKW,05/18/2021,Buy,TWLO,90138F102,TWILIO INC,"19,584",0.1135
37,ARKW,05/18/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"42,248",0.1987
38,ARKW,05/18/2021,Buy,DKNG,26142R104,DRAFTKINGS INC,"28,314",0.024
39,ARKW,05/18/2021,Sell,PINS,72352L106,PINTEREST INC,"1,000",0.0011
40,ARKW,05/18/2021,Sell,HUBS,443573100,HUBSPOT INC,"27,426",0.2572
41,ARKW,05/18/2021,Sell,FSLY,31188V100,FASTLY INC,250,0.0002
42,ARKW,05/18/2021,Sell,BIDU,056752108,BAIDU INC,500,0.0018
43,ARKW,05/18/2021,Sell,API,00851L103,AGORA INC,"355,281",0.2767
44,ARKX,05/18/2021,Buy,BLDE,092667104,BLADE AIR MOBILITY INC,"181,896",0.2519
45,ARKX,05/18/2021,Sell,ADSK,052769106,AUTODESK INC,"9,000",0.4088
46,ARKX,05/18/2021,Sell,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,300,0.0009
47,ARKX,05/18/2021,Sell,WKHS,98138J206,WORKHORSE GROUP INC,"1,500",0.0022
