index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKG,04/09/2021,Buy,BLI,084310101,BERKELEY LIGHTS INC,"41,000",0.0203
2,ARKG,04/09/2021,Buy,MASS,65443P102,908 DEVICES INC,"8,174",0.0043
3,ARKG,04/09/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"9,948",0.0032
4,ARKG,04/09/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,"61,165",0.0031
5,ARKK,04/09/2021,Buy,TXG,88025U109,10X GENOMICS INC,"11,169",0.0088
6,ARKK,04/09/2021,Buy,DOCU,256163106,DOCUSIGN INC,"16,427",0.0142
7,ARKK,04/09/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"123,510",0.0357
8,ARKQ,04/09/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,"27,117",0.034
9,ARKQ,04/09/2021,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,"230,439",0.0719
10,ARKW,04/09/2021,Buy,LC,52603A208,LENDINGCLUB CORP,"363,831",0.0812
11,ARKW,04/09/2021,Sell,SNPS,871607107,SYNOPSYS INC,"17,931",0.0658
12,ARKW,04/09/2021,Sell,TREE,52603B107,LENDINGTREE INC,"15,148",0.048
13,ARKX,04/09/2021,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,"102,800",0.1723
