index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,03/8/2021,Buy,DKNG,26142R104,DRAFTKINGS INC,"56,900",0.0926
2,ARKF,03/8/2021,Buy,SE,81141R100,SEA LTD,"53,430",0.3007
3,ARKF,03/8/2021,Buy,KSPILI,48581R205,KASPI.KZ JSC,"5,505",0.0098
4,ARKF,03/8/2021,Buy,JD,47215P106,JD.COM INC,"132,370",0.3025
5,ARKF,03/8/2021,Sell,LSPDCN,53227R106,LIGHTSPEED POS INC,"121,515",0.1839
6,ARKF,03/8/2021,Sell,FB,30303M102,FACEBOOK INC,"44,207",0.3038
7,ARKF,03/8/2021,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,"99,749",0.3061
8,ARKG,03/8/2021,Buy,SEER,81578P106,SEER INC,"184,587",0.0894
9,ARKG,03/8/2021,Buy,SDGR,80810D103,SCHRODINGER INC/UNITED STATES,"126,050",0.0945
10,ARKG,03/8/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"34,321",0.0106
11,ARKG,03/8/2021,Buy,CDXS,192005106,CODEXIS INC,"82,471",0.0182
12,ARKG,03/8/2021,Buy,BFLY,124155102,BUTTERFLY NETWORK INC,"233,248",0.0431
13,ARKG,03/8/2021,Buy,ACCD,00437E102,ACCOLADE INC,"75,140",0.0345
14,ARKG,03/8/2021,Sell,GOOGL,02079K305,ALPHABET INC,"1,100",0.0255
15,ARKG,03/8/2021,Sell,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"46,695",0.2482
16,ARKG,03/8/2021,Sell,RHHBY,771195104,ROCHE HOLDING AG,"190,900",0.0881
17,ARKK,03/8/2021,Buy,FATE,31189P102,FATE THERAPEUTICS INC,"93,230",0.0368
18,ARKK,03/8/2021,Buy,DKNG,26142R104,DRAFTKINGS INC,"748,201",0.2264
19,ARKK,03/8/2021,Buy,BLI,084310101,BERKELEY LIGHTS INC,"170,144",0.0415
20,ARKK,03/8/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"69,259",0.0248
21,ARKK,03/8/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"98,617",0.0561
22,ARKK,03/8/2021,Sell,PYPL,70450Y103,PAYPAL HOLDINGS INC,"182,219",0.2077
23,ARKQ,03/8/2021,Buy,NIU,65481N100,NIU TECHNOLOGIES,"96,045",0.0963
24,ARKQ,03/8/2021,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,"142,951",0.1081
25,ARKQ,03/8/2021,Buy,ESLT,M3760D101,ELBIT SYSTEMS LTD,"2,934",0.0124
26,ARKQ,03/8/2021,Buy,AONE,G7000X105,ONE,"13,118",0.0046
27,ARKQ,03/8/2021,Sell,DE,244199105,DEERE & CO,"7,912",0.0908
28,ARKQ,03/8/2021,Sell,CAT,149123101,CATERPILLAR INC,"8,800",0.0634
29,ARKQ,03/8/2021,Sell,AMZN,023135106,AMAZON.COM INC,297,0.0285
30,ARKW,03/8/2021,Buy,SE,81141R100,SEA LTD,"110,382",0.3488
31,ARKW,03/8/2021,Buy,ROKU,77543R102,ROKU INC,"44,856",0.2313
32,ARKW,03/8/2021,Buy,JD,47215P106,JD.COM INC,"310,807",0.4043
33,ARKW,03/8/2021,Buy,SKLZ,83067L109,SKILLZ INC,"61,259",0.0224
34,ARKW,03/8/2021,Sell,NFLX,64110L106,NETFLIX INC,"47,914",0.3621
35,ARKW,03/8/2021,Sell,BIDU,056752108,BAIDU INC,"134,423",0.4752
36,ARKW,03/8/2021,Sell,API,00851L103,AGORA INC,"24,480",0.0212
37,ARKW,03/8/2021,Sell,FB,30303M102,FACEBOOK INC,"51,532",0.2012
