index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,03/5/2021,Buy,DKNG,26142R104,DRAFTKINGS INC,"101,400",0.0591
2,ARKF,03/5/2021,Buy,KSPILI,48581R205,KASPI.KZ JSC,"56,481",0.0361
3,ARKF,03/5/2021,Buy,SI,82837P408,SILVERGATE CAPITAL CORP,"80,630",0.0855
4,ARKF,03/5/2021,Buy,Z,98954M200,ZILLOW GROUP INC,"74,252",0.2445
5,ARKF,03/5/2021,Sell,FB,30303M102,FACEBOOK INC,"40,578",0.2581
6,ARKF,03/5/2021,Sell,LSPDCN,53227R106,LIGHTSPEED POS INC,"242,193",0.1716
7,ARKG,03/5/2021,Buy,SEER,81578P106,SEER INC,"915,000",0.1268
8,ARKG,03/5/2021,Buy,SDGR,80810D103,SCHRODINGER INC/UNITED STATES,"188,900",0.1396
9,ARKG,03/5/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"361,500",0.0066
10,ARKG,03/5/2021,Buy,CMLF,18978W109,CM LIFE SCIENCES INC,"268,000",0.0438
11,ARKG,03/5/2021,Buy,CDXS,192005106,CODEXIS INC,"227,737",0.0321
12,ARKG,03/5/2021,Buy,BFLY,124155102,BUTTERFLY NETWORK INC,"989,100",0.0289
13,ARKG,03/5/2021,Buy,ACCD,00437E102,ACCOLADE INC,"412,400",0.0824
14,ARKG,03/5/2021,Sell,GOOGL,02079K305,ALPHABET INC,"17,700",0.3963
15,ARKG,03/5/2021,Sell,RHHBY,771195104,ROCHE HOLDING AG,"536,611",0.1022
16,ARKK,03/5/2021,Buy,TSLA,88160R101,TESLA INC,"19,272",0.0528
17,ARKK,03/5/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"162,549",0.1433
18,ARKK,03/5/2021,Buy,ROKU,77543R102,ROKU INC,"147,165",0.232
19,ARKK,03/5/2021,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,"460,300",0.0502
20,ARKK,03/5/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"331,000",0.0401
21,ARKK,03/5/2021,Buy,BLI,084310101,BERKELEY LIGHTS INC,"627,000",0.076
22,ARKK,03/5/2021,Buy,FATE,31189P102,FATE THERAPEUTICS INC,"163,146",0.0617
23,ARKK,03/5/2021,Sell,NTDOY,654445303,NINTENDO CO LTD,"102,072",0.0339
24,ARKK,03/5/2021,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"501,351",0.2024
25,ARKK,03/5/2021,Sell,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,"238,654",0.3036
26,ARKK,03/5/2021,Sell,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"21,525",0.0462
27,ARKK,03/5/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"93,837",0.0502
28,ARKK,03/5/2021,Sell,PCAR,693718108,PACCAR INC,"121,100",0.046
29,ARKQ,03/5/2021,Buy,WKHS,98138J206,WORKHORSE GROUP INC,"494,600",0.1554
30,ARKQ,03/5/2021,Buy,VUZI,92921W300,VUZIX CORP,"492,700",0.0588
31,ARKQ,03/5/2021,Buy,TSLA,88160R101,TESLA INC,"17,440",0.3114
32,ARKQ,03/5/2021,Buy,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,"219,800",0.1936
33,ARKQ,03/5/2021,Buy,NIU,65481N100,NIU TECHNOLOGIES,"31,200",0.0309
34,ARKQ,03/5/2021,Buy,ESLT,M3760D101,ELBIT SYSTEMS LTD,"29,717",0.0139
35,ARKQ,03/5/2021,Sell,ROK,773903109,ROCKWELL AUTOMATION INC,"59,210",0.4435
36,ARKQ,03/5/2021,Sell,AMZN,023135106,AMAZON.COM INC,"2,453",0.1169
37,ARKQ,03/5/2021,Sell,AAPL,037833100,APPLE INC,"27,787",0.1004
38,ARKW,03/5/2021,Buy,TSLA,88160R101,TESLA INC,"71,481",0.5902
39,ARKW,03/5/2021,Buy,ROKU,77543R102,ROKU INC,"48,625",0.0151
40,ARKW,03/5/2021,Buy,TTD,88339J105,TRADE DESK INC/THE,"28,001",0.2368
41,ARKW,03/5/2021,Sell,PYPL,70450Y103,PAYPAL HOLDINGS INC,"132,675",0.4413
42,ARKW,03/5/2021,Sell,NVDA,67066G104,NVIDIA CORP,"64,293",0.4469
