index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,01/20/2021,Buy,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,"214,800",0.2492
2,ARKF,01/20/2021,Sell,SQ,852234103,SQUARE INC,"27,425",0.2477
3,ARKG,01/20/2021,Buy,ACCD,00437E102,ACCOLADE INC,"173,507",0.0864
4,ARKG,01/20/2021,Buy,BMY,110122108,BRISTOL-MYERS SQUIBB CO,"174,332",0.1033
5,ARKG,01/20/2021,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,"26,400",0.0553
6,ARKG,01/20/2021,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,"614,794",0.0964
7,ARKG,01/20/2021,Buy,RHHBY,771195104,ROCHE HOLDING AG,"481,803",0.193
8,ARKG,01/20/2021,Buy,NVS,66987V109,NOVARTIS AG,"195,595",0.1686
9,ARKG,01/20/2021,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,"8,303",0.0146
10,ARKG,01/20/2021,Sell,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,"264,450",0.0917
11,ARKG,01/20/2021,Sell,TWST,90184D100,TWIST BIOSCIENCE CORP,"56,203",0.1043
12,ARKG,01/20/2021,Sell,CSTL,14843C105,CASTLE BIOSCIENCES INC,"52,034",0.0378
13,ARKK,01/20/2021,Buy,TXG,88025U109,10X GENOMICS INC,"72,748",0.0568
14,ARKK,01/20/2021,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"84,941",0.1954
15,ARKK,01/20/2021,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"565,671",0.212
16,ARKK,01/20/2021,Buy,PCAR,693718108,PACCAR INC,"174,100",0.0665
17,ARKK,01/20/2021,Sell,CGEN,M25722105,COMPUGEN LTD,"37,707",0.0022
18,ARKK,01/20/2021,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,"87,031",0.0268
19,ARKK,01/20/2021,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,"44,520",0.0029
20,ARKQ,01/20/2021,Buy,BIDU,056752108,BAIDU INC,"39,600",0.3928
21,ARKQ,01/20/2021,Buy,JD,47215P106,JD.COM INC,"83,600",0.3033
22,ARKQ,01/20/2021,Buy,SNPS,871607107,SYNOPSYS INC,"14,300",0.1506
23,ARKQ,01/20/2021,Buy,EXPC,30217C109,EXPERIENCE INVESTMENT CORP,"195,439",0.1042
24,ARKQ,01/20/2021,Sell,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,"181,976",0.3395
25,ARKQ,01/20/2021,Sell,WKHS,98138J206,WORKHORSE GROUP INC,"539,400",0.4835
26,ARKQ,01/20/2021,Sell,MTLS,57667T100,MATERIALISE NV,"64,001",0.19
27,ARKW,01/20/2021,Buy,ADYEY,00783V104,ADYEN NV,"42,300",0.03
28,ARKW,01/20/2021,Buy,SNPS,871607107,SYNOPSYS INC,"46,656",0.1978
29,ARKW,01/20/2021,Sell,TSLA,88160R101,TESLA INC,"10,500",0.1371
