index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,06/09/2021,Buy,BEKE,482497104,KE HOLDINGS INC,"152,549",0.1987
2,ARKF,06/09/2021,Buy,KSPILI,48581R205,KASPI.KZ JSC,"1,351",0.0034
3,ARKF,06/09/2021,Buy,PATH,90364P105,UIPATH INC,"104,352",0.2056
4,ARKF,06/09/2021,Sell,DOCU,256163106,DOCUSIGN INC,"61,431",0.4056
5,ARKG,06/09/2021,Buy,CMIIU,125842203,CM LIFE SCIENCES II INC,300,0.0
6,ARKG,06/09/2021,Buy,SEER,81578P106,SEER INC,"406,200",0.1466
7,ARKG,06/09/2021,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,911,0.0001
8,ARKG,06/09/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,"67,243",0.0034
9,ARKG,06/09/2021,Sell,GH,40131M109,GUARDANT HEALTH INC,"3,501",0.0047
10,ARKK,06/09/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"134,921",0.1431
11,ARKK,06/09/2021,Buy,PATH,90364P105,UIPATH INC,"211,731",0.0719
12,ARKK,06/09/2021,Sell,DOCU,256163106,DOCUSIGN INC,"65,363",0.0749
13,ARKK,06/09/2021,Sell,HUYA,44852D108,HUYA INC,"5,000",0.0004
14,ARKK,06/09/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"96,883",0.0508
15,ARKQ,06/09/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"61,597",0.2078
16,ARKQ,06/09/2021,Buy,PATH,90364P105,UIPATH INC,"164,169",0.4028
17,ARKQ,06/09/2021,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,"91,602",0.0837
18,ARKQ,06/09/2021,Sell,MGA,559222401,MAGNA INTERNATIONAL INC,"23,810",0.0802
19,ARKQ,06/09/2021,Sell,NXPI,N6596X109,NXP SEMICONDUCTORS NV,"11,865",0.0803
20,ARKQ,06/09/2021,Sell,GLEO,G3770A102,GALILEO ACQUISITION CORP,"7,919",0.0027
21,ARKQ,06/09/2021,Sell,RAVN,754212108,RAVEN INDUSTRIES INC,"6,936",0.0107
22,ARKQ,06/09/2021,Sell,TER,880770102,TERADYNE INC,"113,088",0.4852
23,ARKQ,06/09/2021,Sell,DDD,88554D205,3D SYSTEMS CORP,"112,358",0.1184
24,ARKW,06/09/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"47,042",0.1944
25,ARKW,06/09/2021,Buy,PATH,90364P105,UIPATH INC,"122,493",0.1562
26,ARKW,06/09/2021,Sell,RBLX,771049103,ROBLOX CORP,"116,917",0.1969
27,ARKW,06/09/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"8,500",0.0174
28,ARKW,06/09/2021,Sell,DOCU,256163106,DOCUSIGN INC,"34,414",0.1513
29,ARKX,06/09/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,"23,919",0.1489
30,ARKX,06/09/2021,Buy,PATH,90364P105,UIPATH INC,"30,193",0.3482
31,ARKX,06/09/2021,Sell,BA,097023105,BOEING CO/THE,"12,596",0.5072
32,ARKX,06/09/2021,Sell,GRMN,H2906T109,GARMIN LTD,"5,170",0.1172
