index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,04/15/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"33,092",0.2525
2,ARKF,04/15/2021,Sell,SQ,852234103,SQUARE INC,"41,859",0.2526
3,ARKG,04/15/2021,Buy,MASS,65443P102,908 DEVICES INC,"5,487",0.0029
4,ARKG,04/15/2021,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,"5,871",0.0004
5,ARKG,04/15/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,399,0.0
6,ARKG,04/15/2021,Sell,PHR,71944F106,PHREESIA INC,"44,762",0.0239
7,ARKK,04/15/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"2,050",0.0006
8,ARKK,04/15/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"282,894",0.3639
9,ARKK,04/15/2021,Buy,EXAS,30063P105,EXACT SCIENCES CORP,"28,354",0.0145
10,ARKK,04/15/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"168,200",0.0674
11,ARKK,04/15/2021,Buy,TSP,90089L108,TUSIMPLE HOLDINGS INC,"2,350,496",0.3649
12,ARKK,04/15/2021,Sell,SQ,852234103,SQUARE INC,"367,382",0.3823
13,ARKK,04/15/2021,Sell,PCAR,693718108,PACCAR INC,"130,441",0.0487
14,ARKK,04/15/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"209,161",0.0986
15,ARKQ,04/15/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"39,700",0.1182
16,ARKQ,04/15/2021,Buy,TSP,90089L108,TUSIMPLE HOLDINGS INC,"728,536",0.8534
17,ARKQ,04/15/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,"64,700",0.0783
18,ARKQ,04/15/2021,Sell,TER,880770102,TERADYNE INC,"31,733",0.1209
19,ARKQ,04/15/2021,Sell,SNPS,871607107,SYNOPSYS INC,"36,104",0.2765
20,ARKQ,04/15/2021,Sell,LMT,539830109,LOCKHEED MARTIN CORP,"26,065",0.299
21,ARKQ,04/15/2021,Sell,GOOG,02079K107,ALPHABET INC,"4,521",0.305
22,ARKQ,04/15/2021,Sell,AVAV,008073108,AEROVIRONMENT INC,"10,215",0.0327
23,ARKW,04/15/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"25,200",0.1159
24,ARKW,04/15/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"42,500",0.0598
25,ARKW,04/15/2021,Sell,SNPS,871607107,SYNOPSYS INC,"31,951",0.1158
26,ARKW,04/15/2021,Sell,TEAM,G06242104,ATLASSIAN CORP PLC,"8,409",0.0275
27,ARKX,04/15/2021,Buy,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,"42,800",0.1532
28,ARKX,04/15/2021,Sell,LMT,539830109,LOCKHEED MARTIN CORP,"4,234",0.2499
