index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKG,04/05/2021,Buy,BFLY,124155102,BUTTERFLY NETWORK INC,"316,100",0.0534
2,ARKG,04/05/2021,Buy,MASS,65443P102,908 DEVICES INC,"21,256",0.0109
3,ARKG,04/05/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"2,000",0.0006
4,ARKG,04/05/2021,Buy,SGFY,82671G100,SIGNIFY HEALTH INC,"70,299",0.0204
5,ARKG,04/05/2021,Sell,PHR,71944F106,PHREESIA INC,"22,100",0.0124
6,ARKG,04/05/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,"23,726",0.0012
7,ARKG,04/05/2021,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,"68,057",0.0052
8,ARKK,04/05/2021,Buy,TXG,88025U109,10X GENOMICS INC,"28,606",0.0224
9,ARKK,04/05/2021,Buy,TWTR,90184L102,TWITTER INC,"266,865",0.0695
10,ARKK,04/05/2021,Buy,TRMB,896239100,TRIMBLE INC,"19,346",0.0067
11,ARKK,04/05/2021,Buy,FATE,31189P102,FATE THERAPEUTICS INC,"31,423",0.0109
12,ARKK,04/05/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"72,622",0.0246
13,ARKW,04/05/2021,Buy,SE,81141R100,SEA LTD,"75,881",0.2537
14,ARKW,04/05/2021,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"212,554",0.2527
