index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,04/20/2021,Buy,JD,47215P106,JD.COM INC,"88,313",0.161
2,ARKF,04/20/2021,Buy,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,"137,988",0.0567
3,ARKF,04/20/2021,Buy,PDD,722304102,PINDUODUO INC,"33,037",0.1028
4,ARKF,04/20/2021,Sell,NVDA,67066G104,NVIDIA CORP,"19,300",0.2835
5,ARKF,04/20/2021,Sell,TREE,52603B107,LENDINGTREE INC,"27,890",0.1411
6,ARKG,04/20/2021,Buy,RXRX,75629V104,RECURSION PHARMACEUTICALS INC,"5,254",0.0016
7,ARKG,04/20/2021,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,"90,284",0.0391
8,ARKG,04/20/2021,Sell,NVS,66987V109,NOVARTIS AG,"57,600",0.0541
9,ARKG,04/20/2021,Sell,RHHBY,771195104,ROCHE HOLDING AG,"93,700",0.042
10,ARKG,04/20/2021,Sell,TMO,883556102,THERMO FISHER SCIENTIFIC INC,"2,177",0.0113
11,ARKK,04/20/2021,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,"1,146,771",0.1045
12,ARKK,04/20/2021,Buy,DKNG,26142R104,DRAFTKINGS INC,"214,625",0.0498
13,ARKK,04/20/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"184,175",0.2563
14,ARKK,04/20/2021,Buy,BLI,084310101,BERKELEY LIGHTS INC,"76,370",0.015
15,ARKK,04/20/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"30,087",0.0089
16,ARKK,04/20/2021,Buy,TSP,90089L108,TUSIMPLE HOLDINGS INC,"748,503",0.1101
17,ARKK,04/20/2021,Sell,TWTR,90184L102,TWITTER INC,"605,633",0.1688
18,ARKK,04/20/2021,Sell,SQ,852234103,SQUARE INC,"188,647",0.1968
19,ARKK,04/20/2021,Sell,ROKU,77543R102,ROKU INC,"73,767",0.1111
20,ARKK,04/20/2021,Sell,PCAR,693718108,PACCAR INC,"276,415",0.108
21,ARKQ,04/20/2021,Buy,WKHS,98138J206,WORKHORSE GROUP INC,"318,467",0.1227
22,ARKQ,04/20/2021,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,"393,895",0.1217
23,ARKQ,04/20/2021,Buy,NIU,65481N100,NIU TECHNOLOGIES,"60,394",0.063
24,ARKQ,04/20/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,"129,469",0.144
25,ARKQ,04/20/2021,Buy,DDD,88554D205,3D SYSTEMS CORP,"369,200",0.2164
26,ARKQ,04/20/2021,Sell,NVDA,67066G104,NVIDIA CORP,"12,638",0.2322
27,ARKQ,04/20/2021,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,"63,323",0.2226
28,ARKQ,04/20/2021,Sell,XLNX,983919101,XILINX INC,"81,500",0.3095
29,ARKW,04/20/2021,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"52,500",0.0616
30,ARKW,04/20/2021,Buy,RBLX,771049103,ROBLOX CORP,"236,810",0.2486
31,ARKW,04/20/2021,Buy,PTON,70614W100,PELOTON INTERACTIVE INC,"8,269",0.0129
32,ARKW,04/20/2021,Buy,OKTA,679295105,OKTA INC,936,0.0037
33,ARKW,04/20/2021,Buy,DKNG,26142R104,DRAFTKINGS INC,"303,552",0.2544
34,ARKW,04/20/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"52,173",0.254
35,ARKW,04/20/2021,Sell,PSTG,74624M102,PURE STORAGE INC,"532,167",0.1616
36,ARKW,04/20/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"361,266",0.6477
37,ARKW,04/20/2021,Sell,SQ,852234103,SQUARE INC,"44,500",0.1638
38,ARKX,04/20/2021,Buy,RTP,G7483N129,REINVENT TECHNOLOGY PARTNERS,"120,300",0.1775
