index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKG,03/22/2021,Buy,ACCD,00437E102,ACCOLADE INC,"2,626",0.0011
2,ARKG,03/22/2021,Buy,CDXS,192005106,CODEXIS INC,"44,373",0.0099
3,ARKG,03/22/2021,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,"46,225",0.0254
4,ARKG,03/22/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,380,0.0
5,ARKQ,03/22/2021,Buy,DDD,88554D205,3D SYSTEMS CORP,"141,254",0.1205
6,ARKQ,03/22/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"187,300",0.551
7,ARKQ,03/22/2021,Buy,AONE,G7000X105,ONE,"17,570",0.0063
8,ARKQ,03/22/2021,Sell,BYDDY,05606L100,BYD CO LTD,"26,200",0.0373
9,ARKQ,03/22/2021,Sell,DE,244199105,DEERE & CO,"45,982",0.5004
10,ARKQ,03/22/2021,Sell,KMTUY,500458401,KOMATSU LTD,"12,700",0.0116
11,ARKQ,03/22/2021,Sell,AVAV,008073108,AEROVIRONMENT INC,"8,096",0.0282
