index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKG,04/29/2021,Buy,CMIIU,125842203,CM LIFE SCIENCES II INC,"5,389",0.0008
2,ARKG,04/29/2021,Buy,ZY,98985X100,ZYMERGEN INC,"86,200",0.0435
3,ARKG,04/29/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"166,635",0.2936
4,ARKG,04/29/2021,Buy,RXRX,75629V104,RECURSION PHARMACEUTICALS INC,"37,959",0.0124
5,ARKG,04/29/2021,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,"128,124",0.0572
6,ARKG,04/29/2021,Buy,MASS,65443P102,908 DEVICES INC,"14,984",0.0082
7,ARKG,04/29/2021,Sell,PHR,71944F106,PHREESIA INC,"27,718",0.0149
8,ARKG,04/29/2021,Sell,TMO,883556102,THERMO FISHER SCIENTIFIC INC,"21,462",0.1025
9,ARKG,04/29/2021,Sell,NVS,66987V109,NOVARTIS AG,"112,985",0.1002
10,ARKG,04/29/2021,Sell,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"18,937",0.0948
11,ARKG,04/29/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,"310,383",0.0151
12,ARKG,04/29/2021,Sell,PSTG,74624M102,PURE STORAGE INC,"140,875",0.0299
13,ARKK,04/29/2021,Buy,TSLA,88160R101,TESLA INC,"69,149",0.1961
14,ARKK,04/29/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"424,255",0.3033
15,ARKK,04/29/2021,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,"140,218",0.1543
16,ARKK,04/29/2021,Buy,SHOP,82509L107,SHOPIFY INC,"5,105",0.0271
17,ARKK,04/29/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"121,357",0.1511
18,ARKK,04/29/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,"115,301",0.0185
19,ARKK,04/29/2021,Sell,ROKU,77543R102,ROKU INC,"128,963",0.1933
20,ARKK,04/29/2021,Sell,Z,98954M200,ZILLOW GROUP INC,"84,217",0.047
21,ARKK,04/29/2021,Sell,TER,880770102,TERADYNE INC,"56,383",0.031
22,ARKK,04/29/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"202,083",0.0998
23,ARKK,04/29/2021,Sell,SQ,852234103,SQUARE INC,"299,660",0.3109
24,ARKK,04/29/2021,Sell,PCAR,693718108,PACCAR INC,"169,493",0.0649
25,ARKK,04/29/2021,Sell,SE,81141R100,SEA LTD,"143,675",0.1552
26,ARKQ,04/29/2021,Buy,DDD,88554D205,3D SYSTEMS CORP,"45,428",0.0296
27,ARKQ,04/29/2021,Buy,GLEO,G3770A102,GALILEO ACQUISITION CORP,"454,800",0.1384
28,ARKQ,04/29/2021,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,"54,083",0.0169
29,ARKQ,04/29/2021,Sell,NVDA,67066G104,NVIDIA CORP,"10,973",0.2016
30,ARKW,04/29/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"125,379",0.3194
31,ARKW,04/29/2021,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"59,500",0.0718
32,ARKW,04/29/2021,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,"41,241",0.1604
33,ARKW,04/29/2021,Buy,SHOP,82509L107,SHOPIFY INC,"7,842",0.1456
34,ARKW,04/29/2021,Buy,PDD,722304102,PINDUODUO INC,"75,700",0.1548
35,ARKW,04/29/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"32,928",0.145
36,ARKW,04/29/2021,Buy,TSLA,88160R101,TESLA INC,"8,916",0.0895
37,ARKW,04/29/2021,Sell,SI,82837P408,SILVERGATE CAPITAL CORP,"112,000",0.1867
38,ARKW,04/29/2021,Sell,NVDA,67066G104,NVIDIA CORP,"94,348",0.8537
39,ARKW,04/29/2021,Sell,API,00851L103,AGORA INC,"12,110",0.0096
