index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,12/21/2020,Buy,AMZN,023135106,AMAZON.COM INC,"2,660",0.4996
2,ARKF,12/21/2020,Buy,BABA,01609W102,ALIBABA GROUP HOLDING LTD,"16,654",0.2543
3,ARKF,12/21/2020,Buy,JD,47215P106,JD.COM INC,"31,366",0.1489
4,ARKF,12/21/2020,Buy,KSPILI,48581R205,KASPI.KZ JSC,"6,936",0.0233
5,ARKF,12/21/2020,Buy,NVDA,67066G104,NVIDIA CORP,"4,793",0.1493
6,ARKF,12/21/2020,Sell,TRU,89400J107,TRANSUNION,"25,122",0.1461
7,ARKF,12/21/2020,Sell,SQ,852234103,SQUARE INC,"39,437",0.54
8,ARKF,12/21/2020,Sell,IBKR,45841N107,INTERACTIVE BROKERS GROUP INC,"27,219",0.0937
9,ARKG,12/21/2020,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"20,905",0.157
10,ARKG,12/21/2020,Buy,LGVW,543195101,LONGVIEW ACQUISITION CORP,"263,084",0.0593
11,ARKG,12/21/2020,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,"49,817",0.0407
12,ARKG,12/21/2020,Buy,GOOGL,02079K305,ALPHABET INC,"28,900",0.7579
13,ARKG,12/21/2020,Buy,EXAS,30063P105,EXACT SCIENCES CORP,"1,194",0.0024
14,ARKG,12/21/2020,Buy,CDXS,192005106,CODEXIS INC,"14,675",0.0044
15,ARKG,12/21/2020,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,"28,200",0.1001
16,ARKG,12/21/2020,Buy,BLI,084310101,BERKELEY LIGHTS INC,100,0.0001
17,ARKG,12/21/2020,Buy,RHHBY,771195104,ROCHE HOLDING AG,"175,700",0.1148
18,ARKG,12/21/2020,Sell,TWST,90184D100,TWIST BIOSCIENCE CORP,"23,221",0.0532
19,ARKG,12/21/2020,Sell,VCYT,92337F107,VERACYTE INC,"10,621",0.0082
20,ARKG,12/21/2020,Sell,EDIT,28106W103,EDITAS MEDICINE INC,"37,700",0.0479
21,ARKG,12/21/2020,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,"32,800",0.0834
22,ARKG,12/21/2020,Sell,CDNA,14167L103,CAREDX INC,"18,068",0.0197
23,ARKK,12/21/2020,Buy,U,91332U101,UNITY SOFTWARE INC,"13,023",0.0116
24,ARKK,12/21/2020,Sell,XONE,302104104,EXONE CO/THE,"35,442",0.0024
25,ARKQ,12/21/2020,Buy,KMTUY,500458401,KOMATSU LTD,"66,723",0.1259
26,ARKQ,12/21/2020,Buy,FLIR,302445101,FLIR SYSTEMS INC,"56,925",0.1656
27,ARKQ,12/21/2020,Buy,BIDU,056752108,BAIDU INC,"22,008",0.2995
28,ARKQ,12/21/2020,Sell,MTLS,57667T100,MATERIALISE NV,"15,958",0.055
29,ARKQ,12/21/2020,Sell,XLNX,983919101,XILINX INC,"29,798",0.3041
30,ARKW,12/21/2020,Buy,SHOP,82509L107,SHOPIFY INC,"22,078",0.5047
31,ARKW,12/21/2020,Buy,NVDA,67066G104,NVIDIA CORP,"25,034",0.254
32,ARKW,12/21/2020,Buy,BABA,01609W102,ALIBABA GROUP HOLDING LTD,"50,108",0.2471
33,ARKW,12/21/2020,Buy,ADBE,00724F101,ADOBE INC,"25,953",0.247
34,ARKW,12/21/2020,Buy,AAPL,037833100,APPLE INC,"415,786",1.0036
35,ARKW,12/21/2020,Sell,PD,69553P100,PAGERDUTY INC,"75,592",0.0647
36,ARKW,12/21/2020,Sell,ROKU,77543R102,ROKU INC,"147,192",0.9932
37,ARKW,12/21/2020,Sell,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,"40,167",0.2495
38,ARKW,12/21/2020,Sell,SQ,852234103,SQUARE INC,"112,224",0.4982
39,ARKW,12/21/2020,Sell,TWLO,90138F102,TWILIO INC,"35,524",0.2488
40,ARKW,12/21/2020,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,"30,365",0.0246
