index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKG,12/14/2020,Buy,RHHBY,771195104,ROCHE HOLDING AG,"158,614",0.12
2,ARKG,12/14/2020,Sell,VCYT,92337F107,VERACYTE INC,"12,900",0.01
3,ARKK,12/14/2020,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,"738,400",0.19
4,ARKK,12/14/2020,Sell,XONE,302104104,EXONE CO/THE,"80,543",0.01
5,ARKQ,12/14/2020,Buy,AAPL,037833100,APPLE INC,"26,764",0.25
6,ARKQ,12/14/2020,Sell,TSLA,88160R101,TESLA INC,"5,076",0.25
7,ARKW,12/14/2020,Buy,TTD,88339J105,TRADE DESK INC/THE,"13,521",0.26
8,ARKW,12/14/2020,Sell,CRWD,22788C105,CROWDSTRIKE HOLDINGS INC,"69,505",0.25
