index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,05/12/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"47,200",0.4082
2,ARKF,05/12/2021,Sell,9923HK,G9835C108,YEAHKA LTD,"414,400",0.0809
3,ARKF,05/12/2021,Sell,SI,82837P408,SILVERGATE CAPITAL CORP,"12,700",0.0314
4,ARKG,05/12/2021,Buy,ZY,98985X100,ZYMERGEN INC,"318,708",0.1316
5,ARKG,05/12/2021,Buy,SGFY,82671G100,SIGNIFY HEALTH INC,"57,509",0.0192
6,ARKG,05/12/2021,Buy,RXRX,75629V104,RECURSION PHARMACEUTICALS INC,"373,232",0.1083
7,ARKG,05/12/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"9,894",0.0042
8,ARKG,05/12/2021,Buy,PATH,90364P105,UIPATH INC,"43,000",0.0399
9,ARKG,05/12/2021,Buy,MASS,65443P102,908 DEVICES INC,"24,606",0.014
10,ARKG,05/12/2021,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,"130,900",0.0617
11,ARKG,05/12/2021,Buy,CMIIU,125842203,CM LIFE SCIENCES II INC,"42,972",0.0063
12,ARKG,05/12/2021,Buy,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,"572,104",0.2438
13,ARKG,05/12/2021,Buy,CDXS,192005106,CODEXIS INC,"45,200",0.0105
14,ARKG,05/12/2021,Buy,BLI,084310101,BERKELEY LIGHTS INC,"160,209",0.0849
15,ARKG,05/12/2021,Buy,BFLY,124155102,BUTTERFLY NETWORK INC,"185,517",0.0268
16,ARKG,05/12/2021,Sell,TMO,883556102,THERMO FISHER SCIENTIFIC INC,"61,100",0.3625
17,ARKG,05/12/2021,Sell,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,"75,000",0.0165
18,ARKG,05/12/2021,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,"147,332",0.0102
19,ARKG,05/12/2021,Sell,SRPT,803607100,SAREPTA THERAPEUTICS INC,"79,900",0.0762
20,ARKG,05/12/2021,Sell,RHHBY,771195104,ROCHE HOLDING AG,"25,000",0.0134
21,ARKG,05/12/2021,Sell,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"45,494",0.2995
22,ARKG,05/12/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,"3,700",0.0002
23,ARKG,05/12/2021,Sell,PHR,71944F106,PHREESIA INC,"61,200",0.0355
24,ARKK,05/12/2021,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,"2,067,489",0.2008
25,ARKK,05/12/2021,Buy,SKLZ,83067L109,SKILLZ INC,"441,784",0.0313
26,ARKK,05/12/2021,Buy,TSP,90089L108,TUSIMPLE HOLDINGS INC,"437,794",0.0811
27,ARKK,05/12/2021,Buy,TWLO,90138F102,TWILIO INC,"65,455",0.0984
28,ARKK,05/12/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"452,000",0.1962
29,ARKK,05/12/2021,Buy,Z,98954M200,ZILLOW GROUP INC,"138,740",0.0772
30,ARKK,05/12/2021,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,"70,690",0.1047
31,ARKK,05/12/2021,Buy,PATH,90364P105,UIPATH INC,"477,872",0.1777
32,ARKK,05/12/2021,Buy,BLI,084310101,BERKELEY LIGHTS INC,"62,002",0.0134
33,ARKK,05/12/2021,Buy,DKNG,26142R104,DRAFTKINGS INC,"466,419",0.1008
34,ARKK,05/12/2021,Buy,EXAS,30063P105,EXACT SCIENCES CORP,"322,080",0.1578
35,ARKK,05/12/2021,Sell,NVS,66987V109,NOVARTIS AG,"179,700",0.0809
36,ARKK,05/12/2021,Sell,BEKE,482497104,KE HOLDINGS INC,"314,500",0.0795
37,ARKK,05/12/2021,Sell,BIDU,056752108,BAIDU INC,"429,192",0.4051
38,ARKK,05/12/2021,Sell,TREE,52603B107,LENDINGTREE INC,"99,462",0.0863
39,ARKK,05/12/2021,Sell,SNPS,871607107,SYNOPSYS INC,"170,419",0.2033
40,ARKK,05/12/2021,Sell,HUYA,44852D108,HUYA INC,"99,640",0.0079
41,ARKK,05/12/2021,Sell,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"3,000",0.0077
42,ARKK,05/12/2021,Sell,PSTG,74624M102,PURE STORAGE INC,"304,896",0.0266
43,ARKK,05/12/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"79,985",0.0459
44,ARKQ,05/12/2021,Buy,PATH,90364P105,UIPATH INC,"101,775",0.2592
45,ARKQ,05/12/2021,Sell,WKHS,98138J206,WORKHORSE GROUP INC,"140,335",0.0414
46,ARKQ,05/12/2021,Sell,GOOG,02079K107,ALPHABET INC,"3,088",0.2478
47,ARKW,05/12/2021,Buy,ROKU,77543R102,ROKU INC,"52,885",0.3082
48,ARKW,05/12/2021,Sell,TREE,52603B107,LENDINGTREE INC,"67,529",0.2175
49,ARKX,05/12/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,"64,002",0.3775
50,ARKX,05/12/2021,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,"40,700",0.1639
51,ARKX,05/12/2021,Buy,PRNT,00214Q500,THE 3D PRINTING ETF,"36,300",0.211
52,ARKX,05/12/2021,Sell,WKHS,98138J206,WORKHORSE GROUP INC,"323,803",0.4195
