index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,04/27/2021,Buy,3690HK,G59669104,MEITUAN,"225,307",0.2011
2,ARKF,04/27/2021,Buy,JD,47215P106,JD.COM INC,"140,671",0.2536
3,ARKF,04/27/2021,Buy,SHOP,82509L107,SHOPIFY INC,"15,204",0.4036
4,ARKF,04/27/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"137,200",0.3832
5,ARKF,04/27/2021,Sell,SQ,852234103,SQUARE INC,"110,682",0.6552
6,ARKG,04/27/2021,Buy,ZY,98985X100,ZYMERGEN INC,106,0.0
7,ARKG,04/27/2021,Buy,RXRX,75629V104,RECURSION PHARMACEUTICALS INC,142,0.0
8,ARKG,04/27/2021,Buy,MASS,65443P102,908 DEVICES INC,"13,412",0.0074
9,ARKG,04/27/2021,Buy,CMIIU,125842203,CM LIFE SCIENCES II INC,"179,166",0.0246
10,ARKG,04/27/2021,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,"161,563",0.0706
11,ARKG,04/27/2021,Sell,PHR,71944F106,PHREESIA INC,"28,919",0.0154
12,ARKG,04/27/2021,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,"376,429",0.0249
13,ARKG,04/27/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,816,0.0
14,ARKG,04/27/2021,Sell,PSTG,74624M102,PURE STORAGE INC,"10,300",0.0022
15,ARKK,04/27/2021,Sell,PCAR,693718108,PACCAR INC,"58,997",0.022
16,ARKQ,04/27/2021,Buy,TSP,90089L108,TUSIMPLE HOLDINGS INC,"94,997",0.1106
17,ARKQ,04/27/2021,Buy,PATH,90364P105,UIPATH INC,"62,203",0.1462
18,ARKQ,04/27/2021,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,"13,679",0.0042
19,ARKQ,04/27/2021,Sell,NVDA,67066G104,NVIDIA CORP,"20,039",0.3667
20,ARKW,04/27/2021,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"100,100",0.1162
21,ARKW,04/27/2021,Buy,SHOP,82509L107,SHOPIFY INC,"8,985",0.1478
22,ARKW,04/27/2021,Buy,PDD,722304102,PINDUODUO INC,"113,379",0.2289
23,ARKW,04/27/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"85,411",0.3729
24,ARKW,04/27/2021,Buy,JD,47215P106,JD.COM INC,"74,124",0.082
25,ARKW,04/27/2021,Sell,FB,30303M102,FACEBOOK INC,265,0.0012
26,ARKW,04/27/2021,Sell,TREE,52603B107,LENDINGTREE INC,"27,025",0.0937
27,ARKW,04/27/2021,Sell,TEAM,G06242104,ATLASSIAN CORP PLC,"1,433",0.0049
28,ARKW,04/27/2021,Sell,ADBE,00724F101,ADOBE INC,472,0.0035
29,ARKW,04/27/2021,Sell,SQ,852234103,SQUARE INC,"30,000",0.1097
30,ARKW,04/27/2021,Sell,SNPS,871607107,SYNOPSYS INC,"2,583",0.0094
31,ARKW,04/27/2021,Sell,SI,82837P408,SILVERGATE CAPITAL CORP,"144,507",0.2369
32,ARKW,04/27/2021,Sell,ROKU,77543R102,ROKU INC,"29,701",0.1548
33,ARKW,04/27/2021,Sell,API,00851L103,AGORA INC,"149,675",0.121
34,ARKW,04/27/2021,Sell,NVDA,67066G104,NVIDIA CORP,"6,222",0.0552
35,ARKW,04/27/2021,Sell,ADYEY,00783V104,ADYEN NV,"56,618",0.0412
36,ARKW,04/27/2021,Sell,HUBS,443573100,HUBSPOT INC,"6,425",0.0521
37,ARKX,04/27/2021,Buy,JD,47215P106,JD.COM INC,"30,005",0.3368
38,ARKX,04/27/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,"60,636",0.3365
39,ARKX,04/27/2021,Buy,3690HK,G59669104,MEITUAN,"59,428",0.3313
40,ARKX,04/27/2021,Sell,TER,880770102,TERADYNE INC,"26,230",0.4996
41,ARKX,04/27/2021,Sell,XLNX,983919101,XILINX INC,"17,088",0.332
