index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,04/12/2021,Buy,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,"633,400",0.278
2,ARKF,04/12/2021,Sell,SI,82837P408,SILVERGATE CAPITAL CORP,"65,349",0.2452
3,ARKG,04/12/2021,Buy,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,"179,500",0.0759
4,ARKG,04/12/2021,Buy,BLI,084310101,BERKELEY LIGHTS INC,"45,956",0.0231
5,ARKG,04/12/2021,Buy,MASS,65443P102,908 DEVICES INC,"6,603",0.0035
6,ARKG,04/12/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"4,597",0.0015
7,ARKG,04/12/2021,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,401,0.0
8,ARKG,04/12/2021,Sell,PHR,71944F106,PHREESIA INC,"23,613",0.0132
9,ARKK,04/12/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"124,745",0.0506
10,ARKK,04/12/2021,Buy,TXG,88025U109,10X GENOMICS INC,"91,629",0.0708
11,ARKK,04/12/2021,Buy,FATE,31189P102,FATE THERAPEUTICS INC,"139,699",0.0436
12,ARKK,04/12/2021,Buy,EXAS,30063P105,EXACT SCIENCES CORP,"33,361",0.0173
13,ARKK,04/12/2021,Buy,DKNG,26142R104,DRAFTKINGS INC,"431,100",0.1038
14,ARKK,04/12/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"277,900",0.0784
15,ARKK,04/12/2021,Sell,SQ,852234103,SQUARE INC,"86,800",0.0957
16,ARKQ,04/12/2021,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,"318,086",0.102
17,ARKQ,04/12/2021,Buy,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,"139,227",0.1093
18,ARKQ,04/12/2021,Buy,NNDM,63008G203,NANO DIMENSION LTD,"463,128",0.0996
19,ARKQ,04/12/2021,Buy,JD,47215P106,JD.COM INC,"33,700",0.0779
20,ARKQ,04/12/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,"138,012",0.1663
21,ARKQ,04/12/2021,Buy,DDD,88554D205,3D SYSTEMS CORP,"263,667",0.1726
22,ARKQ,04/12/2021,Sell,DE,244199105,DEERE & CO,"7,260",0.0806
23,ARKQ,04/12/2021,Sell,SNPS,871607107,SYNOPSYS INC,"34,418",0.2612
24,ARKQ,04/12/2021,Sell,AVAV,008073108,AEROVIRONMENT INC,"11,566",0.0387
25,ARKQ,04/12/2021,Sell,TER,880770102,TERADYNE INC,"53,065",0.2033
26,ARKQ,04/12/2021,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,"7,986",0.0282
27,ARKW,04/12/2021,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,"54,559",0.2467
28,ARKW,04/12/2021,Buy,PTON,70614W100,PELOTON INTERACTIVE INC,"77,079",0.1288
29,ARKW,04/12/2021,Buy,LC,52603A208,LENDINGCLUB CORP,"102,719",0.0221
30,ARKW,04/12/2021,Buy,DKNG,26142R104,DRAFTKINGS INC,"30,100",0.0244
31,ARKW,04/12/2021,Sell,TEAM,G06242104,ATLASSIAN CORP PLC,"131,800",0.4304
32,ARKW,04/12/2021,Sell,TREE,52603B107,LENDINGTREE INC,"4,502",0.0144
33,ARKX,04/12/2021,Buy,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,"97,100",0.4011
34,ARKX,04/12/2021,Buy,RTP,G7483N129,REINVENT TECHNOLOGY PARTNERS,"55,163",0.0867
35,ARKX,04/12/2021,Buy,WKHS,98138J206,WORKHORSE GROUP INC,"128,400",0.2484
36,ARKX,04/12/2021,Sell,DE,244199105,DEERE & CO,"10,240",0.5981
37,ARKX,04/12/2021,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,"22,569",0.4192
38,ARKX,04/12/2021,Sell,GRMN,H2906T109,GARMIN LTD,"12,500",0.2664
