index,Fund,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
1,ARKF,04/16/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"19,599",0.1473
2,ARKF,04/16/2021,Sell,SQ,852234103,SQUARE INC,"24,983",0.1471
3,ARKG,04/16/2021,Buy,BLI,084310101,BERKELEY LIGHTS INC,"5,698",0.0028
4,ARKG,04/16/2021,Buy,MASS,65443P102,908 DEVICES INC,"24,213",0.0129
5,ARKG,04/16/2021,Sell,PHR,71944F106,PHREESIA INC,"13,392",0.0071
6,ARKG,04/16/2021,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,100,0.0
7,ARKK,04/16/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"143,850",0.0572
8,ARKK,04/16/2021,Buy,EXAS,30063P105,EXACT SCIENCES CORP,"49,345",0.0254
9,ARKK,04/16/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"112,539",0.1512
10,ARKK,04/16/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"52,791",0.0153
11,ARKK,04/16/2021,Sell,TSLA,88160R101,TESLA INC,"86,715",0.2562
12,ARKQ,04/16/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,"22,142",0.0266
13,ARKQ,04/16/2021,Sell,AVAV,008073108,AEROVIRONMENT INC,"6,400",0.0204
14,ARKW,04/16/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,"54,940",0.2525
15,ARKW,04/16/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"81,999",0.117
16,ARKW,04/16/2021,Sell,SNPS,871607107,SYNOPSYS INC,"11,600",0.0428
17,ARKW,04/16/2021,Sell,TSLA,88160R101,TESLA INC,"47,826",0.5008
